web-1  | "time": "2026-09-25T22:58:48+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "3084", "request_time": "0.021", "status": "200", "request": "GET /index.php?m=companies&a=add HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:48+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "5", "request_time": "0.020", "status": "302", "request": "POST /index.php?m=companies&a=add HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=companies&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:48+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "3121", "request_time": "0.027", "status": "200", "request": "GET /index.php?m=companies&a=show&companyID=2 HTTP/1.1", "request_method": "GET", "http_referrer": "http://localhost:8080/index.php?m=companies&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:49+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "3121", "request_time": "0.025", "status": "200", "request": "GET /index.php?m=companies&a=show&companyID=2 HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:50+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "3606", "request_time": "0.023", "status": "200", "request": "GET /index.php?m=companies&a=edit&companyID=2 HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:50+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "5676", "request_time": "0.025", "status": "200", "request": "GET /index.php?m=contacts HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:51+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "3500", "request_time": "0.024", "status": "200", "request": "GET /index.php?m=contacts&a=add HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:51+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:51+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.015", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:51+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:51+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:51+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:52+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:52+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.015", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:52+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:52+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:52+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:52+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:52+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:53+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:53+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
